product_id,avg_sentiment,median_sentiment,positive_share,sentiment_review_count
P482692,0.815,0.93,94.9,311
P482693,0.693,0.88325,90.3,700
P482694,0.549,0.8294,81.1,37
P482695,0.728,0.9081,89.0,191
P482696,0.783,0.9022,93.9,131
P482697,0.515,0.7813,82.4,17
P482698,0.769,0.9201,94.1,17
P482739,0.776,0.908,94.3,1343
P482740,0.788,0.8516,100.0,46
P482741,0.755,0.8847,94.2,485
P482742,0.805,0.90645,96.2,1190
P482746,0.813,0.9404,100.0,11
P482747,0.072,0.07190000000000002,50.0,2
P482753,0.785,0.903,95.4,197
P482754,0.653,0.84785,88.7,62
P482755,0.845,0.9381999999999999,97.2,36
P482757,0.681,0.8455,89.8,410
P483057,0.217,0.43865,55.0,20
P483058,0.674,0.658,100.0,7
P483060,0.632,0.8306,84.1,63
P483075,0.683,0.7964,92.0,25
P483076,0.878,0.9473,97.7,533
P483078,0.373,0.8677,62.5,8
P483086,0.422,0.4215,100.0,1
P483089,0.137,0.13655,50.0,2
P483090,0.582,0.84605,81.2,16
P483092,0.509,0.78155,80.0,30
P483127,0.805,0.911,96.0,225
P483128,0.624,0.7717,92.0,137
P483136,0.794,0.90485,93.7,206
P483137,0.762,0.8866,94.3,318
P483138,0.786,0.89775,95.9,340
P483141,-0.03,-0.1183,33.3,6
P483145,0.717,0.87995,83.3,6
P483146,0.829,0.925,95.2,104
P483151,0.609,0.7778,82.9,35
P483453,0.769,0.9395,91.2,181
P483455,0.756,0.9312,92.9,155
P483457,0.786,0.92145,93.4,152
P483458,0.292,0.7263,66.7,3
P483460,0.895,0.8953,100.0,2
P483494,0.703,0.8121499999999999,91.7,12
P483495,0.727,0.8123,93.8,16
P483496,0.494,0.6988,77.9,77
P483643,0.759,0.9052,90.5,148
P483658,0.75,0.8823000000000001,93.1,246
P483661,0.717,0.8931,88.3,111
P483664,0.804,0.92255,95.3,300
P483679,0.868,0.94295,97.3,602
P483691,0.181,0.18105,50.0,2
P483692,0.786,0.8885,95.7,257
P483693,0.29,0.1511,66.7,3
P483694,0.856,0.8935500000000001,100.0,4
P483696,0.834,0.92275,96.4,112
P483697,0.819,0.90905,96.3,188
P483698,0.749,0.8846,92.0,112
P483699,0.804,0.9214,94.7,152
P483700,0.778,0.9196,92.7,124
P483701,0.827,0.925,96.3,108
P483708,0.786,0.8885,95.7,257
P484033,0.572,0.8236,80.0,40
P484055,0.613,0.8525,84.6,52
P484067,0.837,0.9198,96.9,262
P484076,0.584,0.8784000000000001,80.0,10
P484080,0.355,0.5719,69.2,919
P484081,0.782,0.8751,97.6,127
P500002,0.802,0.91835,95.5,134
P500012,0.739,0.945,88.2,17
P500016,0.726,0.8957,92.3,13
P500019,0.751,0.8599,95.3,423
P500039,0.808,0.91705,96.0,226
P500055,0.833,0.9428,95.7,209
P500060,0.297,0.2157,60.0,5
P500094,0.689,0.8421,91.3,241
P500096,0.428,0.73055,70.0,20
P500098,0.585,0.8189500000000001,83.1,248
P500101,0.855,0.9061,99.3,139
P500102,0.81,0.9085000000000001,95.1,164
P500106,0.331,0.4939,69.2,13
P500109,0.588,0.77625,87.9,116
P500111,0.835,0.9314,97.5,81
P500112,0.747,0.886,91.9,209
P500113,0.679,0.8398,91.6,119
P500114,0.615,0.802,86.4,243
P500116,0.785,0.8878999999999999,100.0,8
P500117,0.75,0.8881,93.7,111
P500120,0.407,0.61815,70.0,10
P500121,0.641,0.895,83.8,167
P500124,0.402,0.6771,75.0,4
P500138,0.726,0.8655,91.9,381
P500139,0.838,0.8972,100.0,10
P500151,0.45,0.45025000000000004,100.0,2
P500155,0.786,0.7856,100.0,1
P500160,0.789,0.915,96.1,77
P500238,0.68,0.6476,100.0,7
P500240,0.85,0.9265,97.9,561
P500244,0.854,0.9255500000000001,98.2,218
P500245,0.647,0.8674,86.5,635
P500248,0.759,0.77135,100.0,12
P500256,-0.188,-0.18825,0.0,2
P500287,0.692,0.8801,90.0,10
P500288,0.851,0.9367,96.7,453
P500307,0.777,0.8966,94.9,549
P500318,0.694,0.847,90.6,127
P500329,0.804,0.9727,92.3,194
P500399,0.86,0.9527,97.9,47
P500412,0.748,0.7556499999999999,100.0,28
P500420,0.808,0.9142,95.9,195
P500428,0.451,0.5482499999999999,73.1,26
P500445,0.732,0.876,94.7,38
P500464,-0.22,-0.2202,0.0,2
P500471,0.853,0.9345,97.6,451
P500472,0.761,0.90755,92.8,1458
P500482,0.176,0.4754,66.7,3
P500502,0.518,0.69,85.7,7
P500613,0.732,0.9019,91.2,579
P500614,0.855,0.938,96.9,97
P500618,0.885,0.9463,98.6,290
P500626,0.536,0.7783,80.1,161
P500633,0.85,0.92465,97.7,1872
P500687,0.784,0.9199,92.9,155
P500696,0.865,0.94365,97.9,188
P500701,0.727,0.8591,93.0,1795
P500705,0.84,0.9174,98.6,69
P500716,0.921,0.9596,99.2,258
P500718,0.751,0.858,95.1,1900
P500729,0.839,0.8393999999999999,100.0,6
P500743,0.474,0.6326,70.6,17
P500744,0.79,0.9231,93.4,473
P500746,0.709,0.8928499999999999,90.2,112
P500753,0.754,0.87355,94.0,84
P500756,0.828,0.9231,95.7,351
P500757,0.593,0.7906,84.3,1131
P500763,0.887,0.9427,100.0,3
P500771,0.807,0.8074,100.0,17
P500774,0.68,0.8257,89.5,19
P500775,0.877,0.8772,100.0,4
P500777,0.839,0.9463,95.6,1149
P500778,0.812,0.9165,94.9,137
P500782,-0.028,-0.3326,40.0,5
P500785,0.638,0.8276,83.3,12
P500856,0.81,0.9493,94.7,19
P500857,0.631,0.8221,87.6,517
P500880,0.819,0.7959499999999999,100.0,4
P500894,0.776,0.9093,95.0,299
P500982,0.676,0.8146,89.7,29
P500983,0.761,0.8593,87.5,8
P500988,0.658,0.893,85.9,149
P500993,0.801,0.92845,94.5,452
P500998,0.784,0.7783,100.0,3
P501003,0.264,0.43945,75.0,8
P501004,0.745,0.8476,97.4,38
P501005,0.784,0.9157,94.3,611
P501017,0.901,0.9386,98.5,67
P501024,0.699,0.87595,93.3,30
P501028,0.717,0.8588,92.3,430
P501029,0.772,0.9015500000000001,95.4,614
P501030,0.855,0.9327,96.6,203
P501031,0.733,0.8465,93.5,108
P501153,0.81,0.81,100.0,1
P501157,0.758,0.9039,92.4,185
P501165,0.745,0.8682000000000001,93.7,540
P501166,0.78,0.925,93.7,111
P501169,0.729,0.88935,91.0,234
P501170,0.745,0.8908,93.9,490
P501171,0.777,0.88925,94.6,484
P501175,0.928,0.9277,100.0,1
P501176,0.709,0.8406499999999999,93.0,456
P501178,0.752,0.8702,93.4,361
P501185,0.76,0.8455,96.6,29
P501187,0.771,0.87205,96.4,506
P501188,0.766,0.86955,96.0,494
P501189,0.649,0.7901,89.2,443
P501190,0.82,0.9319,96.4,252
P501199,0.731,0.8516,93.2,368
P501213,0.739,0.86785,93.1,216
P501236,0.828,0.928,96.4,419
P501243,0.655,0.8346,88.8,251
P501254,0.833,0.9245,96.0,733
P501264,0.403,0.40285,50.0,2
P501282,0.836,0.9178,97.6,293
P501288,0.742,0.886,92.1,341
P501316,0.773,0.9158999999999999,93.1,72
P501321,0.82,0.9112,96.2,293
P501323,0.406,0.5253,80.0,10
P501421,0.826,0.9061,97.2,109
P501474,0.917,0.9533499999999999,100.0,8
P501518,0.769,0.87265,95.0,160
P501550,0.369,0.5307999999999999,75.0,4
P501566,0.899,0.9427,100.0,3
P501581,0.827,0.9175,98.3,300
P501585,0.881,0.8813,100.0,2
P501587,0.75,0.8668,90.9,55
P501591,0.543,0.8867,80.0,10
P501760,0.758,0.9184,92.2,923
P501781,0.786,0.9185,93.5,260
P501790,0.691,0.83045,92.4,66
P501886,0.637,0.6369,100.0,1
P502046,0.836,0.9255,96.6,119
P502047,0.852,0.8516,100.0,2
P502169,0.842,0.94035,97.4,76
P502186,0.573,0.5730999999999999,100.0,2
P502192,0.612,0.61195,100.0,2
P502195,0.612,0.656,100.0,3
P502197,0.851,0.9238999999999999,97.7,86
P502200,0.857,0.9087,98.9,89
P502216,0.479,0.8181,75.0,4
P502235,0.876,0.8585,100.0,3
P502237,0.452,0.8345499999999999,66.7,6
P502322,0.898,0.9611,97.8,93
P502326,0.835,0.92225,96.6,266
P502365,0.466,0.67395,66.7,6
P502395,0.836,0.92055,97.2,142
P502448,0.756,0.7016,100.0,3
P502479,0.668,0.8311999999999999,89.0,82
P502640,0.82,0.9133,96.7,61
P502656,0.628,0.8155,86.2,921
P502691,0.511,0.70295,79.5,78
P502709,0.89,0.89045,100.0,2
P502710,0.582,0.8224,84.1,69
P502725,0.624,0.8492999999999999,83.3,6
P502740,0.78,0.84215,100.0,8
P502741,0.534,0.72315,81.1,74
P502745,0.853,0.9799,93.6,141
P502749,0.526,0.7506,81.0,79
P502756,0.623,0.8244,87.1,62
P502758,0.793,0.9162,95.0,40
P502761,0.789,0.8817,97.0,463
P502771,0.559,0.7269,85.7,7
P502818,0.937,0.975,100.0,16
P502823,0.877,0.87655,100.0,2
P502827,0.852,0.9682,93.3,15
P502831,0.931,0.9552,100.0,13
P502842,0.366,0.6503,75.0,4
P502848,0.929,0.9582,98.1,53
P502852,0.829,0.9201,97.7,175
P502966,0.785,0.904,95.5,488
P502977,0.757,0.7999,100.0,4
P502978,-0.083,-0.4111,33.3,3
P502986,0.89,0.9379,100.0,129
P502996,0.407,0.6634,75.0,8
P502997,0.524,0.8271,78.9,123
P502998,0.685,0.787,100.0,7
P503000,0.908,0.9272,100.0,3
P503052,0.517,0.7289,81.5,401
P503123,0.876,0.903,100.0,10
P503191,0.765,0.8955,93.6,1099
P503197,0.875,0.9433,97.9,240
P503216,0.902,0.9306,100.0,15
P503226,0.432,0.6723,71.4,7
P503250,0.731,0.8641,95.0,199
P503262,0.918,0.96495,100.0,18
P503294,0.218,0.3641,54.2,24
